"GeneID","Module"
"ENSG00000000938","brown"
"ENSG00000001461","turquoise"
"ENSG00000001629","green"
"ENSG00000001631","blue"
"ENSG00000002549","blue"
"ENSG00000002586","blue"
"ENSG00000002822","yellow"
"ENSG00000002834","turquoise"
"ENSG00000002933","brown"
"ENSG00000003402","blue"
"ENSG00000003756","turquoise"
"ENSG00000004455","green"
"ENSG00000004478","turquoise"
"ENSG00000004534","turquoise"
"ENSG00000004799","brown"
"ENSG00000004897","turquoise"
"ENSG00000004939","red"
"ENSG00000005007","brown"
"ENSG00000005020","turquoise"
"ENSG00000005059","turquoise"
"ENSG00000005075","yellow"
"ENSG00000005156","magenta"
"ENSG00000005175","yellow"
"ENSG00000005249","blue"
"ENSG00000005302","black"
"ENSG00000005339","turquoise"
"ENSG00000005483","black"
"ENSG00000005700","turquoise"
"ENSG00000005810","pink"
"ENSG00000005812","blue"
"ENSG00000005844","yellow"
"ENSG00000005889","green"
"ENSG00000005893","turquoise"
"ENSG00000005961","turquoise"
"ENSG00000006007","turquoise"
"ENSG00000006015","blue"
"ENSG00000006125","yellow"
"ENSG00000006459","red"
"ENSG00000006534","turquoise"
"ENSG00000006652","yellow"
"ENSG00000006712","turquoise"
"ENSG00000006715","blue"
"ENSG00000006831","brown"
"ENSG00000007168","turquoise"
"ENSG00000007202","purple"
"ENSG00000007237","turquoise"
"ENSG00000007264","yellow"
"ENSG00000007520","pink"
"ENSG00000007944","green"
"ENSG00000007968","turquoise"
"ENSG00000008018","turquoise"
"ENSG00000008083","turquoise"
"ENSG00000008130","green"
"ENSG00000008294","turquoise"
"ENSG00000008441","red"
"ENSG00000008513","green"
"ENSG00000008516","turquoise"
"ENSG00000008517","blue"
"ENSG00000008838","brown"
"ENSG00000008869","brown"
"ENSG00000008952","blue"
"ENSG00000008988","blue"
"ENSG00000009307","red"
"ENSG00000009335","green"
"ENSG00000009413","pink"
"ENSG00000009790","blue"
"ENSG00000009954","turquoise"
"ENSG00000010244","pink"
"ENSG00000010256","blue"
"ENSG00000010292","magenta"
"ENSG00000010295","blue"
"ENSG00000010322","turquoise"
"ENSG00000010404","brown"
"ENSG00000010810","turquoise"
"ENSG00000010818","turquoise"
"ENSG00000011028","red"
"ENSG00000011114","turquoise"
"ENSG00000011198","blue"
"ENSG00000011275","brown"
"ENSG00000011295","blue"
"ENSG00000011304","purple"
"ENSG00000011405","yellow"
"ENSG00000011422","blue"
"ENSG00000011454","yellow"
"ENSG00000011523","blue"
"ENSG00000011600","turquoise"
"ENSG00000012048","green"
"ENSG00000012124","blue"
"ENSG00000012660","blue"
"ENSG00000012779","brown"
"ENSG00000012983","purple"
"ENSG00000013275","magenta"
"ENSG00000013288","turquoise"
"ENSG00000013306","red"
"ENSG00000013364","turquoise"
"ENSG00000013374","turquoise"
"ENSG00000013441","turquoise"
"ENSG00000013561","blue"
"ENSG00000013725","turquoise"
"ENSG00000013810","pink"
"ENSG00000014123","brown"
"ENSG00000014216","green"
"ENSG00000014824","blue"
"ENSG00000015133","pink"
"ENSG00000015171","blue"
"ENSG00000015285","brown"
"ENSG00000015475","brown"
"ENSG00000015479","blue"
"ENSG00000015676","yellow"
"ENSG00000017483","red"
"ENSG00000017797","red"
"ENSG00000018189","brown"
"ENSG00000018280","blue"
"ENSG00000019582","turquoise"
"ENSG00000019995","turquoise"
"ENSG00000020633","black"
"ENSG00000021355","yellow"
"ENSG00000021776","turquoise"
"ENSG00000022277","blue"
"ENSG00000022567","turquoise"
"ENSG00000022840","red"
"ENSG00000023191","green"
"ENSG00000023287","turquoise"
"ENSG00000023445","turquoise"
"ENSG00000023516","yellow"
"ENSG00000023892","turquoise"
"ENSG00000023902","turquoise"
"ENSG00000023909","blue"
"ENSG00000024048","turquoise"
"ENSG00000024862","green"
"ENSG00000025293","turquoise"
"ENSG00000025708","turquoise"
"ENSG00000025796","brown"
"ENSG00000025800","brown"
"ENSG00000026025","turquoise"
"ENSG00000026297","brown"
"ENSG00000026508","brown"
"ENSG00000026751","blue"
"ENSG00000026950","turquoise"
"ENSG00000027075","black"
"ENSG00000027869","yellow"
"ENSG00000028137","turquoise"
"ENSG00000028277","turquoise"
"ENSG00000028310","blue"
"ENSG00000028528","pink"
"ENSG00000029363","blue"
"ENSG00000029534","red"
"ENSG00000029725","turquoise"
"ENSG00000030419","green"
"ENSG00000030582","turquoise"
"ENSG00000031698","turquoise"
"ENSG00000032219","turquoise"
"ENSG00000033178","blue"
"ENSG00000033327","turquoise"
"ENSG00000033627","brown"
"ENSG00000033800","blue"
"ENSG00000033867","blue"
"ENSG00000034152","red"
"ENSG00000034510","turquoise"
"ENSG00000034677","blue"
"ENSG00000034713","red"
"ENSG00000035403","turquoise"
"ENSG00000035664","brown"
"ENSG00000035687","pink"
"ENSG00000035862","black"
"ENSG00000035928","turquoise"
"ENSG00000036257","purple"
"ENSG00000036448","green"
"ENSG00000036549","green"
"ENSG00000037757","yellow"
"ENSG00000038219","black"
"ENSG00000038382","pink"
"ENSG00000038427","blue"
"ENSG00000039123","turquoise"
"ENSG00000039319","blue"
"ENSG00000040341","yellow"
"ENSG00000040633","turquoise"
"ENSG00000040933","brown"
"ENSG00000041357","blue"
"ENSG00000041802","pink"
"ENSG00000042429","yellow"
"ENSG00000042493","blue"
"ENSG00000042753","red"
"ENSG00000043143","turquoise"
"ENSG00000043462","green"
"ENSG00000044446","brown"
"ENSG00000044574","turquoise"
"ENSG00000046651","turquoise"
"ENSG00000047188","green"
"ENSG00000047315","brown"
"ENSG00000047346","yellow"
"ENSG00000047365","blue"
"ENSG00000047410","brown"
"ENSG00000047644","blue"
"ENSG00000047849","blue"
"ENSG00000047932","green"
"ENSG00000048028","purple"
"ENSG00000048405","turquoise"
"ENSG00000048471","pink"
"ENSG00000048544","turquoise"
"ENSG00000048649","black"
"ENSG00000048707","black"
"ENSG00000048740","blue"
"ENSG00000048828","brown"
"ENSG00000049245","green"
"ENSG00000049618","blue"
"ENSG00000049656","turquoise"
"ENSG00000051108","green"
"ENSG00000051523","yellow"
"ENSG00000051620","green"
"ENSG00000051825","blue"
"ENSG00000052749","yellow"
"ENSG00000052841","yellow"
"ENSG00000053254","turquoise"
"ENSG00000053770","blue"
"ENSG00000054116","black"
"ENSG00000054118","turquoise"
"ENSG00000054148","yellow"
"ENSG00000054267","blue"
"ENSG00000054282","brown"
"ENSG00000054523","turquoise"
"ENSG00000054611","turquoise"
"ENSG00000054654","turquoise"
"ENSG00000054967","turquoise"
"ENSG00000055044","brown"
"ENSG00000055070","yellow"
"ENSG00000055130","turquoise"
"ENSG00000055163","black"
"ENSG00000055208","blue"
"ENSG00000055332","greenyellow"
"ENSG00000055483","turquoise"
"ENSG00000055609","turquoise"
"ENSG00000055917","yellow"
"ENSG00000056097","turquoise"
"ENSG00000056558","turquoise"
"ENSG00000056586","yellow"
"ENSG00000057608","blue"
"ENSG00000057657","blue"
"ENSG00000057704","blue"
"ENSG00000057757","yellow"
"ENSG00000058063","turquoise"
"ENSG00000058091","green"
"ENSG00000058272","turquoise"
"ENSG00000058668","brown"
"ENSG00000058673","turquoise"
"ENSG00000059145","blue"
"ENSG00000059377","brown"
"ENSG00000059728","blue"
"ENSG00000059804","blue"
"ENSG00000060138","red"
"ENSG00000060237","turquoise"
"ENSG00000060339","turquoise"
"ENSG00000060491","blue"
"ENSG00000061273","blue"
"ENSG00000061936","turquoise"
"ENSG00000061938","turquoise"
"ENSG00000061987","turquoise"
"ENSG00000062194","magenta"
"ENSG00000062282","turquoise"
"ENSG00000062650","yellow"
"ENSG00000062716","turquoise"
"ENSG00000062725","turquoise"
"ENSG00000063046","purple"
"ENSG00000063177","turquoise"
"ENSG00000063244","blue"
"ENSG00000063245","turquoise"
"ENSG00000063322","blue"
"ENSG00000063587","blue"
"ENSG00000063601","blue"
"ENSG00000063854","black"
"ENSG00000064012","yellow"
"ENSG00000064201","green"
"ENSG00000064313","pink"
"ENSG00000064393","brown"
"ENSG00000064419","turquoise"
"ENSG00000064547","turquoise"
"ENSG00000064601","blue"
"ENSG00000064607","brown"
"ENSG00000064666","turquoise"
"ENSG00000064687","brown"
"ENSG00000064932","pink"
"ENSG00000065000","turquoise"
"ENSG00000065135","yellow"
"ENSG00000065243","turquoise"
"ENSG00000065268","turquoise"
"ENSG00000065357","turquoise"
"ENSG00000065413","blue"
"ENSG00000065427","turquoise"
"ENSG00000065457","turquoise"
"ENSG00000065518","turquoise"
"ENSG00000065526","brown"
"ENSG00000065534","brown"
"ENSG00000065548","blue"
"ENSG00000065559","blue"
"ENSG00000065613","yellow"
"ENSG00000065615","turquoise"
"ENSG00000065809","brown"
"ENSG00000065882","blue"
"ENSG00000065883","brown"
"ENSG00000065978","red"
"ENSG00000066027","blue"
"ENSG00000066294","blue"
"ENSG00000066336","turquoise"
"ENSG00000066379","yellow"
"ENSG00000066422","blue"
"ENSG00000066427","green"
"ENSG00000066654","blue"
"ENSG00000066777","blue"
"ENSG00000066926","red"
"ENSG00000067048","blue"
"ENSG00000067066","turquoise"
"ENSG00000067082","yellow"
"ENSG00000067167","blue"
"ENSG00000067182","turquoise"
"ENSG00000067208","yellow"
"ENSG00000067225","turquoise"
"ENSG00000067248","blue"
"ENSG00000067334","blue"
"ENSG00000067533","yellow"
"ENSG00000067560","purple"
"ENSG00000067704","blue"
"ENSG00000067829","brown"
"ENSG00000067836","turquoise"
"ENSG00000067900","blue"
"ENSG00000067955","brown"
"ENSG00000068028","turquoise"
"ENSG00000068097","yellow"
"ENSG00000068305","turquoise"
"ENSG00000068308","brown"
"ENSG00000068323","turquoise"
"ENSG00000068366","turquoise"
"ENSG00000068400","turquoise"
"ENSG00000068650","turquoise"
"ENSG00000068697","turquoise"
"ENSG00000068745","turquoise"
"ENSG00000068784","pink"
"ENSG00000068796","green"
"ENSG00000068831","brown"
"ENSG00000068878","yellow"
"ENSG00000069275","turquoise"
"ENSG00000069329","black"
"ENSG00000069345","blue"
"ENSG00000069399","turquoise"
"ENSG00000069424","yellow"
"ENSG00000069493","brown"
"ENSG00000069667","blue"
"ENSG00000069974","blue"
"ENSG00000070047","turquoise"
"ENSG00000070081","turquoise"
"ENSG00000070190","turquoise"
"ENSG00000070214","blue"
"ENSG00000070269","green"
"ENSG00000070367","yellow"
"ENSG00000070413","brown"
"ENSG00000070423","yellow"
"ENSG00000070444","turquoise"
"ENSG00000070476","turquoise"
"ENSG00000070610","brown"
"ENSG00000070614","turquoise"
"ENSG00000070756","turquoise"
"ENSG00000070831","blue"
"ENSG00000070961","blue"
"ENSG00000071051","green"
"ENSG00000071054","turquoise"
"ENSG00000071073","turquoise"
"ENSG00000071082","blue"
"ENSG00000071127","turquoise"
"ENSG00000071189","blue"
"ENSG00000071243","brown"
"ENSG00000071246","yellow"
"ENSG00000071462","yellow"
"ENSG00000071537","yellow"
"ENSG00000071553","turquoise"
"ENSG00000071575","blue"
"ENSG00000071626","brown"
"ENSG00000071655","blue"
"ENSG00000071794","yellow"
"ENSG00000072042","green"
"ENSG00000072062","turquoise"
"ENSG00000072110","turquoise"
"ENSG00000072135","blue"
"ENSG00000072364","turquoise"
"ENSG00000072401","blue"
"ENSG00000072501","brown"
"ENSG00000072506","yellow"
"ENSG00000072518","turquoise"
"ENSG00000072609","brown"
"ENSG00000072736","purple"
"ENSG00000072778","blue"
"ENSG00000072786","turquoise"
"ENSG00000072818","turquoise"
"ENSG00000072849","brown"
"ENSG00000072864","turquoise"
"ENSG00000072952","pink"
"ENSG00000072958","turquoise"
"ENSG00000073050","yellow"
"ENSG00000073331","blue"
"ENSG00000073584","turquoise"
"ENSG00000073614","turquoise"
"ENSG00000073792","red"
"ENSG00000073849","brown"
"ENSG00000073861","purple"
"ENSG00000073910","yellow"
"ENSG00000073921","turquoise"
"ENSG00000074071","magenta"
"ENSG00000074201","brown"
"ENSG00000074319","brown"
"ENSG00000074356","blue"
"ENSG00000074370","blue"
"ENSG00000074416","turquoise"
"ENSG00000074603","green"
"ENSG00000074706","blue"
"ENSG00000074755","brown"
"ENSG00000074800","turquoise"
"ENSG00000074966","yellow"
"ENSG00000075142","yellow"
"ENSG00000075151","brown"
"ENSG00000075234","blue"
"ENSG00000075292","yellow"
"ENSG00000075407","blue"
"ENSG00000075413","blue"
"ENSG00000075415","yellow"
"ENSG00000075420","turquoise"
"ENSG00000075426","yellow"
"ENSG00000075539","blue"
"ENSG00000075568","turquoise"
"ENSG00000075624","blue"
"ENSG00000075711","blue"
"ENSG00000075785","turquoise"
"ENSG00000075856","purple"
"ENSG00000075884","turquoise"
"ENSG00000076043","green"
"ENSG00000076108","turquoise"
"ENSG00000076321","brown"
"ENSG00000076513","yellow"
"ENSG00000076554","black"
"ENSG00000076641","turquoise"
"ENSG00000076662","blue"
"ENSG00000076685","turquoise"
"ENSG00000076770","red"
"ENSG00000076928","turquoise"
"ENSG00000076984","turquoise"
"ENSG00000077044","turquoise"
"ENSG00000077097","yellow"
"ENSG00000077147","blue"
"ENSG00000077157","turquoise"
"ENSG00000077232","blue"
"ENSG00000077238","turquoise"
"ENSG00000077254","blue"
"ENSG00000077380","brown"
"ENSG00000077420","turquoise"
"ENSG00000077458","black"
"ENSG00000077549","turquoise"
"ENSG00000077684","turquoise"
"ENSG00000077984","blue"
"ENSG00000078043","purple"
"ENSG00000078061","yellow"
"ENSG00000078140","brown"
"ENSG00000078142","blue"
"ENSG00000078304","pink"
"ENSG00000078369","turquoise"
"ENSG00000078403","green"
"ENSG00000078596","blue"
"ENSG00000078618","blue"
"ENSG00000078668","turquoise"
"ENSG00000078674","brown"
"ENSG00000078687","turquoise"
"ENSG00000078699","turquoise"
"ENSG00000078747","red"
"ENSG00000078808","turquoise"
"ENSG00000078902","yellow"
"ENSG00000079246","green"
"ENSG00000079263","turquoise"
"ENSG00000079277","turquoise"
"ENSG00000079308","red"
"ENSG00000079332","turquoise"
"ENSG00000079387","turquoise"
"ENSG00000079432","brown"
"ENSG00000079459","yellow"
"ENSG00000079785","green"
"ENSG00000079805","green"
"ENSG00000079819","brown"
"ENSG00000079950","turquoise"
"ENSG00000079974","brown"
"ENSG00000079999","brown"
"ENSG00000080189","green"
"ENSG00000080345","brown"
"ENSG00000080371","blue"
"ENSG00000080503","black"
"ENSG00000080546","turquoise"
"ENSG00000080573","brown"
"ENSG00000080608","blue"
"ENSG00000080802","turquoise"
"ENSG00000080815","turquoise"
"ENSG00000080824","turquoise"
"ENSG00000081019","yellow"
"ENSG00000081059","turquoise"
"ENSG00000081087","turquoise"
"ENSG00000081154","blue"
"ENSG00000081189","yellow"
"ENSG00000081237","turquoise"
"ENSG00000081320","blue"
"ENSG00000081791","turquoise"
"ENSG00000082068","magenta"
"ENSG00000082074","greenyellow"
"ENSG00000082146","red"
"ENSG00000082153","blue"
"ENSG00000082212","greenyellow"
"ENSG00000082258","brown"
"ENSG00000082512","pink"
"ENSG00000082701","blue"
"ENSG00000082805","turquoise"
"ENSG00000082996","turquoise"
"ENSG00000083099","turquoise"
"ENSG00000083168","black"
"ENSG00000083223","black"
"ENSG00000083312","red"
