"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","UMAP1","UMAP2","cluster"
"X1052_T4",-76.444796920652,-7.49335707887265,-8.435916294658,17.3899364458862,-116.262796365095,-16.486036137791,15.86441487852,-23.9648199107325,42.692432379321,-52.6581651513268,13.7309693966923,-43.5311378735504,48.7487972964094,18.2310329220759,-14.3518211705784,-22.1945584996992,6.31675178393174,0.296136040778659,10.2882607913287,-5.86342699566277,-3.04173241268414,-4.45692105640401,-3.14556664494819,-10.9298135908275,-23.1259436216287,8.16765902567831,1.58220369668214,3.15661281247836,-9.88654023622606,-1.30580619278482,-1.11436081377059,-3.64931968096923,-11.3474928986507,8.37160894700124,19.5163199949352,-0.649720308964475,-0.845593426929451,-5.76137900073415,-3.79982261674692,-4.14190827285733,11.9273959186188,6.85253024733634,1.919200354414,0.759368766741037,0.803434122392995,-4.14930953362405,-0.286645953944889,-5.76149400798742,0.684369959818627,3.31583153682164,-8.57383885762416,5.1708402261452,"3"
"X1014_T4",35.7958141819565,108.748628151142,-9.49703077982254,-18.4894799890335,1.99162214355769,26.2671679619988,74.1795618374457,4.95679357755701,-48.64248577548,-53.0337112063186,-29.5497865012464,16.4111277608822,-33.5235725953695,60.5439444237881,-22.6188027392028,22.626929820723,-30.5988336061448,0.474728648615205,17.0372146498338,-26.0011268154479,-27.0160684128106,-8.61442468794394,24.7788425354068,-14.9205335061993,-11.1850679562559,2.44854015894473,3.45490810903844,-12.5985883303114,-5.56898292497443,3.83896278737022,-0.871097316772274,2.49248166625132,-2.30775557768361,-2.14379504465964,-1.60373788602468,-4.27182976052146,2.78921966707044,-8.31554656069854,0.486564211184126,6.55811447444856,6.61331445341495,5.28183677072235,1.60756790260928,3.66823932603119,-9.81483284024571,10.9710214515635,-7.18188320749546,-5.48917139631014,-4.05397172791245,2.73131195040691,7.40038223145191,-7.67599223289884,"2"
"X1119_T4",34.4938105389164,105.198992104282,-11.0937213672452,-20.779825840743,-6.58499487228364,-11.7878582089956,28.1701316682231,-15.1743360479107,13.8054160547204,-11.6553968868258,1.99877886994026,-9.97464442806247,4.84666473915587,-11.7241166216963,6.79994967233647,-10.3208166322247,21.0851553401222,3.02916801959282,-3.46453321074371,16.0084415724929,25.0063961247764,30.2336679944369,-6.67965295904746,15.5616093747338,39.5992180047869,-26.960061714453,-12.7224920458075,-20.54505506921,15.3413723879496,10.8801379643349,-34.4075171722742,34.0258274195916,-22.6270248460392,1.67520505129351,-31.3169533833326,54.5275387641423,29.7169546440362,-19.9036371183153,-10.0736652921574,41.7442623919026,-10.4672657380509,-10.0751767035934,11.3394929914621,7.01652695008266,-8.16183679150392,27.7278793032935,7.355211909407,11.8469833302072,7.66001740261008,-15.9462418329094,7.0699498686661,-7.85632088812635,"2"
"X1065_T4",35.2324231978975,108.046079246681,-11.5271175499925,-17.5910615885565,-23.7563750005108,2.35173908783484,31.711449509368,-14.7582539587509,19.4948065603914,82.6826869399969,16.6478550009678,-8.57576113032446,4.01013154780644,-16.8939364179377,-52.1023130395888,12.0137007420463,-28.4361738150903,46.1982081584984,7.52246287408181,19.4109071786944,-20.0631057729447,-44.0384536444079,-18.5233156555225,-6.12094600228435,15.1394868854105,30.2366488724272,10.1106513773493,3.5421404988823,-9.10936021060228,-3.38503330009433,-20.7000066189432,19.1410859683409,6.17719338429455,-0.605681376027712,-0.401027300647137,-13.7019543388318,-12.0806648757662,8.7974710462908,-0.546199301192687,-3.48273179038284,-3.85054027049347,-6.42080659509014,6.94069281129666,5.15757802211683,-2.95585123668262,6.71118177019683,-3.85013356892519,6.26913746535911,-0.952845753565357,7.74601124892521,7.20167298738991,-7.65864898518293,"2"
"X1100_T4",55.8857219102468,-32.7342691373848,-0.377109562438369,71.0156984673392,-14.1877729695502,66.0040419389884,50.8061998662752,37.9924565535054,-24.9197471811333,5.21177121121995,3.93397414319782,-21.7679201553771,22.9191454997145,-24.8873076824386,80.2663689497758,-13.9776976075084,-9.61037440855066,-3.50794856441372,5.8941704330423,46.8184125995508,-4.6651513665776,-14.1344129415013,6.22310324332107,-6.66097529573952,19.8843614412773,1.12775669972458,19.2103426798676,2.91104653688636,-8.91195166056545,-3.75264237620684,-7.27599530354731,10.7701943711942,1.20792542529782,-6.30454848088998,13.4924138975159,0.701916345403358,5.07841906490622,4.71535293637284,7.76902876293441,-10.0456117669897,4.76160337050565,2.9869553094602,-2.66977137173559,-3.38119855398399,-2.60998627124607,2.06484303672549,-8.19870794764115,2.60826132812918,3.45418679721587,10.5148164615538,4.7724186093763,-0.539340681335427,"1"
"X1001_T4",-75.4798608982981,-8.22440155795743,-5.15518066061804,1.21178717604198,-38.1099811258198,-15.6194568303249,17.4960367066166,-40.004289897488,1.20049360857463,35.6481487307956,-13.4989362616792,31.2488399023831,-39.5024521166144,-25.5340517645452,60.6502585485232,31.7688247884225,-5.78341309584047,-10.1131710081077,62.0540359109331,-37.3706611745034,41.4360093451074,-16.4088076520153,0.978570143578183,22.0087156406198,-21.6878502438603,-4.02976035011744,6.87162506610708,-1.17715666573342,-6.08433904118904,9.82662900102723,4.99966664149326,-14.0401426163032,-12.14779845182,3.75812503215271,5.99805286472363,-3.89851364792843,-12.3075366284188,-19.5543587494991,-10.9064656310437,8.34239128082392,0.0129206792380533,0.392572695758796,2.56185312789479,-0.480436541951789,2.07616799952044,2.22883451464067,7.45733558482609,5.12204542479749,6.82682238149738,0.70956181689402,-9.24826562921773,4.5346633187432,"3"
"X1020_T4",51.4894916965945,-51.6969732605626,-7.18999026285784,-22.6686325559022,-24.3124255929794,-17.2769956835628,17.5251805512167,-2.41743708362988,-14.3796620217136,2.18005777359533,0.791363732344185,24.8232101404582,-14.4763387231617,12.4027376248329,2.87279170240983,-18.4866238494685,-38.3306223703247,-25.1850144876124,-60.5008801122593,20.1833790378952,68.7981613296199,5.62909648312333,-17.9806917864641,-18.4912408923446,5.09815969600115,39.1693638764484,-45.6554643841055,-25.4049434211938,-21.6753753425207,8.85875736015992,15.6141100956367,13.9131636003159,-17.926883304711,-1.86605514886804,-8.51181711826069,-19.959473321479,-6.70617653804608,3.26056625041886,-17.5130460401862,-22.2738379326084,-11.3155083428831,2.01106688267146,-0.905050186034518,-1.75846671210107,7.25466721884664,-0.410948690294995,1.08952107942085,0.409578858200098,4.9734847192924,9.12750846851337,4.65779941854879,-0.204347810760164,"1"
"X1097_T4",-75.9503804928306,-12.8625440719917,-5.15586858078616,-17.6750279097818,-33.8629550119246,-13.4843082458377,9.37923043282076,0.0931338014383346,-11.2864659077107,23.4522854453048,-4.84792210854058,15.2811297733181,1.76557920098483,3.60629166772219,4.44353397025677,-4.94442279899258,-37.0949717227804,-20.5648071885407,-55.2744251299762,-7.15400347190562,-26.2381588803952,23.2531395577362,45.1765914911598,39.1808159027193,29.7428414042042,-3.36883986115472,26.2642959429406,29.3045231203586,53.5875005043362,-37.4378361808979,17.2939210158308,-7.25886978429072,5.37133333390766,17.8941415732805,18.408524370595,18.0333865892919,-16.5795060288204,-7.60673613394679,-10.0478902370775,-4.66762487569473,-3.10907898395263,-9.95227235169245,14.4177853350348,5.55304323937191,-9.38757385802548,-0.531385494775995,5.1696273695295,7.75295162204479,0.601888048623621,8.77526465726527,-8.74189868987818,4.60777838944824,"3"
"X1016_T4",55.3432955622133,-37.3707886471662,-2.82224924173146,51.4745970378173,18.5127897290889,-24.7497308769302,-19.6519474985359,0.624070891159227,59.8862449305843,15.7540260777344,13.5546575692736,-63.1089379130369,-59.8784180697545,38.8993666355977,10.7757628495519,24.6954473214426,-54.058795061011,-32.31425866965,5.72204896179389,14.0064633701657,-28.1790421912955,20.6662811532081,-0.354807538708409,1.82301607490797,8.06365174316079,-11.8417521647762,-0.507723863593363,-24.8959619203746,-9.51668279857072,14.094950824664,-8.98184919974942,-8.5375095701446,0.337895652663409,7.05429302154604,5.51556797124182,6.09164633727635,2.18870295201992,-7.34826907637986,1.94525027675598,-2.79016823826509,4.71042039660741,-1.51461156584599,-9.96606393279005,-2.31373944125006,1.04056257212952,0.901453304020107,-1.79216199138343,-1.50337848973912,7.29801645983302,-0.730636251774014,4.40888007941388,-1.20004383168233,"1"
"X1115_T4",55.713032072276,-37.8985425662886,-1.31564505953212,45.4204585133985,37.4416724936448,-29.1049157767365,4.82049199948196,-58.4658245579322,7.16514854728119,5.31331004717466,-47.4620444995867,41.2815333931245,86.391473083608,2.29340594546741,-10.6728124349824,33.0381703740835,-18.9051751829963,-22.0713218810582,22.7213868078415,30.5033179051757,-13.2585568644846,26.9400091329673,17.9402915029271,-10.1332116279738,3.36170009154532,11.1224329382924,3.11131499127853,-13.1808870899126,-15.2204472316763,1.60478814032855,0.643661271714778,-10.512591690071,5.47897959843232,-2.02684313150529,3.36401764537964,4.92175397479067,3.18390752564162,-5.47411076141629,3.84214470510322,-7.12315342987753,-9.0398563158886,-3.02025434129611,-2.20490267828746,-1.84443720656324,1.2312384858953,5.07677198403732,0.324602167130604,0.552798854132395,-0.361319806787582,0.0300963780522568,4.94252711447132,-1.47200788313182,"1"
